product_id,month,units_sold,average_price,previous_sales,rolling_sales_3_month,product_category_name,product_weight_g,month_date
35557c68a22ecebcf066e25ca2ddc144,2017-11-01,1,16.9,,,ferramentas_jardim,300.0,2017-11-01
355c91ffac499557d65c0821237b6350,2017-09-01,1,20.3,,,fashion_bolsas_e_acessorios,850.0,2017-09-01
3570caaeaa3f5a1ae76392bb2b4155f9,2017-12-01,1,58.0,,,esporte_lazer,1550.0,2017-12-01
3570caaeaa3f5a1ae76392bb2b4155f9,2018-01-01,1,58.0,1.0,1.0,esporte_lazer,1550.0,2018-01-01
357a9e8a4b691ffbb0f855b23d490c4e,2017-03-01,1,31.0,,1.0,utilidades_domesticas,390.0,2017-03-01
357a9e8a4b691ffbb0f855b23d490c4e,2017-04-01,1,31.0,1.0,1.0,utilidades_domesticas,390.0,2017-04-01
3581206bcfdc0f2611c3d1e8edb87719,2017-04-01,1,12.98,,1.0,esporte_lazer,2300.0,2017-04-01
35afc973633aaeb6b877ff57b2793310,2017-03-01,1,89.9,,1.0,casa_conforto,1825.0,2017-03-01
35afc973633aaeb6b877ff57b2793310,2017-05-01,2,89.9,1.0,1.0,casa_conforto,1825.0,2017-05-01
35afc973633aaeb6b877ff57b2793310,2017-08-01,1,89.9,2.0,1.5,casa_conforto,1825.0,2017-08-01
35afc973633aaeb6b877ff57b2793310,2017-09-01,1,89.9,1.0,1.3333333333333333,casa_conforto,1825.0,2017-09-01
35afc973633aaeb6b877ff57b2793310,2018-01-01,2,88.445,1.0,1.3333333333333333,casa_conforto,1825.0,2018-01-01
35afc973633aaeb6b877ff57b2793310,2018-02-01,1,86.9,2.0,1.3333333333333333,casa_conforto,1825.0,2018-02-01
35b265fd684b08f6f780239bf05a390b,2017-08-01,1,47.49,,1.5,moveis_decoracao,1170.0,2017-08-01
35bc6c77029697004675d3a2ce505916,2017-08-01,2,155.0,,2.0,informatica_acessorios,610.0,2017-08-01
35ebf08a93899d44e756809e11b14754,2017-07-01,2,13.9,,,eletronicos,150.0,2017-07-01
35ebf08a93899d44e756809e11b14754,2018-01-01,2,18.9,2.0,2.0,eletronicos,150.0,2018-01-01
35ebf08a93899d44e756809e11b14754,2018-02-01,1,18.9,2.0,2.0,eletronicos,150.0,2018-02-01
35efb9f20785abb24313fa712efa8fdd,2017-08-01,1,62.8,,2.0,utilidades_domesticas,800.0,2017-08-01
36174802c8879b643cefc0511e7f06ed,2017-05-01,1,257.19,,2.0,eletrodomesticos_2,30000.0,2017-05-01
362b773250263786dd58670d2df42c3b,2017-11-01,1,49.9,,,esporte_lazer,200.0,2017-11-01
362b773250263786dd58670d2df42c3b,2017-12-01,1,49.9,1.0,1.0,esporte_lazer,200.0,2017-12-01
362b773250263786dd58670d2df42c3b,2018-03-01,1,59.9,1.0,1.0,esporte_lazer,200.0,2018-03-01
363218ba55c610b750224f90bdd34be1,2017-07-01,1,87.0,,1.0,cama_mesa_banho,1813.0,2017-07-01
363218ba55c610b750224f90bdd34be1,2018-01-01,1,85.0,1.0,1.0,cama_mesa_banho,1813.0,2018-01-01
363218ba55c610b750224f90bdd34be1,2018-02-01,1,79.99,1.0,1.0,cama_mesa_banho,1813.0,2018-02-01
363a742635cc645c207ce8102de9b837,2018-03-01,1,126.69,,1.0,moveis_decoracao,3600.0,2018-03-01
364db9e9154fdb4355992287afa4f774,2017-09-01,4,199.99,,1.0,moveis_escritorio,13550.0,2017-09-01
368aefcea6b2454dff5ce8156ea6766b,2017-07-01,1,114.9,,,esporte_lazer,1046.0,2017-07-01
368c6c730842d78016ad823897a372db,2017-08-01,1,59.9,,,ferramentas_jardim,1650.0,2017-08-01
368c6c730842d78016ad823897a372db,2017-10-01,1,59.9,1.0,1.0,ferramentas_jardim,1650.0,2017-10-01
368c6c730842d78016ad823897a372db,2017-11-01,1,59.0,1.0,1.0,ferramentas_jardim,1650.0,2017-11-01
368c6c730842d78016ad823897a372db,2017-12-01,8,56.725,1.0,1.0,ferramentas_jardim,1650.0,2017-12-01
368c6c730842d78016ad823897a372db,2018-01-01,6,49.9,8.0,3.3333333333333335,ferramentas_jardim,1650.0,2018-01-01
